TURTLESTOP_20,"Now, drag a <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">forward</span></tt> block and a <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">left</span></tt> block into the 'jaws' of the <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">repeat</span></tt> block.",riley,,,
TURTLESTOP_21,"Remove all the other blocks from the 'jaws' of the <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">Start</span></tt> block, and drag the <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">repeat</span></tt> block in. You can just leave the other blocks hanging around - if they aren't connected to <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">start</span></tt>, the turtle can't see them!",riley,,,
TURTLESTOP_22,"Set your <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">forward</span></tt> block's number to <b>75</b>, and your <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">left</span></tt> block's number to <b>45</b> by double-clicking the purple boxes on each block.",riley,,,
TURTLESTOP_23,"Double-click the purple box on the <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">repeat</span></tt> node and set the number to 8.",riley,,,
TURTLESTOP_24,"Now, press the <b>Snail</b> button and away we go!",riley,,,
TURTLESTOP_25,"Cool, huh? That's an octagon!",riley,,,
TURTLESTOP_26,"But, you know, I can think of something even cooler than an octagon's 8 fantastic sides and 8 awesome angles...",riley,,,
TURTLESTOP_27,We're going to use every tool we have in TurtleBlocks to create something cool! ^_^,riley,,,
TURTLESTOP_28,"OK, first, let's get make sure our shape is filled in - Switch to the 'pencil' command group, and grab the 'start fill' and 'end fill' blocks. Put <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">start fill</span></tt> before the <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">repeat</span></tt> block, and put <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">end fill</span></tt> after the <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">repeat</span></tt> block.",riley,,,
TURTLESTOP_29,"Whenever you're trying to do a specific thing, it's always important to test your programs! Let's test our filled-in shape by clicking the snail button!",riley,,,
TURTLESTOP_30,Nice. If you don't see what we're doing.... think about why we might have left the turtle colored red!,riley,,,
TURTLESTOP_31,"This next set of instructions is pretty specific - I figured them out ahead of time and it took me a little while to get the right values, so check your work carefully!",riley,,,
TURTLESTOP_32,"We're gonna need a shopping list-worth of new nodes to make this work, so let's get going.",riley,,,
TURTLESTOP_33,"From the ""Turtle"" command group, we need a <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">left</span></tt> block, a <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">right</span></tt> block, and 2 <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">forward</span></tt> blocks.",riley,,,
TURTLESTOP_34,"From the ""Pencil"" command group we need the <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">pen up</span></tt>, <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">pen down</span></tt>, and <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">set color</span></tt> blocks.",riley,,,
TURTLESTOP_35,"From the ""Colors"" command group we need the <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">white</span></tt> block.",riley,,,
TURTLESTOP_36,"From the ""Notebook"" command group we need the <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">set scale</span></tt>, and <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">show</span></tt> blocks.",riley,,,
TURTLESTOP_37,"Now that you've dragged all those nodes out, let's get them all into the correct order.",riley,,,
TURTLESTOP_38,"Below <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">end fill</span></tt>, add <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">pen up</span></tt> - This will stop the turtle from drawing any lines while we do some precise movement!",riley,,,
TURTLESTOP_39,"After <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">pen up</span></tt>, add <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">left</span></tt> with a value of <b>90</b>, <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">forward</span></tt> with a value of <b>178</b>, <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">right</span></tt> with a value of <b>90</b>, and then <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">forward</span></tt> with a value of <b>28</b>.",riley,,,
TURTLESTOP_40,"Next, it's <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">Pen down</span></tt>, then <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">set color</span></tt>, and drag our <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">white</span></tt> block into the little slot on the right side of <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">set color</span></tt>.",riley,,,
TURTLESTOP_41,"Then <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">set scale</span></tt> with a value of <b>100</b>, and finally, <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">show</span></tt> with a value of <b>STOP</b>!",riley,,,
TURTLESTOP_42,"Now it's time to test everything! If you want to clean out the screen first, you can press the Eraser button, but otherwise, press the Snail button and watch our turtle go! Watch as the instructions change color while the program runs. If anything goes wrong, you'll see where it happens!",riley,,,
TURTLESTOP_43,"If everything is right, you should have a stop sign... which, of course, is an octagon!",riley,,,
TURTLESTOP_44,"Try experimenting with all the instructions we used to do this - you should have a pretty good idea of what they do if you watched the turtle step through them. As a challenge, try making a Stop sign that's twice as big as this one! Or maybe, if you're feeling confident, try making a Yield sign!",riley,,,
